porto_origem,porto_destino,modal_logistico,volume_carga_ton,tipo_produto,tipo_embalagem,container_type,container_size,preco_combustivel_indice,taxas_impostos_percent,cambio_brl_eur_estimado,prazo_entrega_dias,custo_total_logistico_brl,ano,mes,dia_do_ano,dia_da_semana,semana_do_ano
Pecém,Rotterdam,marítimo,19.726263855761765,polpa de maracujá,containerizado,Reefer,20ft,1.5592201332129871,7.0451792407647424,5.300762278226372,31,92059.97648598532,2023,7,198,0,29
Pecém,Le Havre,marítimo,18.03819202380002,polpa de maracujá,containerizado,Reefer,40ft,2.316372441907893,6.6324596089115895,6.340975492007343,25,94925.09655301968,2024,4,102,3,15
Salaverry,Hamburg,marítimo,17.12797795482338,polpa de maracujá,granel,Reefer,40ft,1.0943988556727782,23.206721364463572,6.499718582061851,17,99765.50544562895,2023,10,282,0,41
Salaverry,Valencia,multimodal,11.518377227070985,polpa de manga,containerizado,Reefer,40ft,1.8767648426675896,6.591216233437627,5.82538001607003,39,65026.19316190912,2022,1,21,4,3
Salaverry,Rotterdam,multimodal,31.168871342469977,polpa de goiaba,containerizado,Reefer,20ft,2.4245282388542946,7.280353095508523,5.929472915197647,15,160248.10479932357,2024,4,111,5,16
Buenaventura,Valencia,marítimo,12.56961210503945,polpa de caju,containerizado,Reefer,40ft,1.823622156737982,16.391473505393865,6.196146720389645,11,81785.6967147488,2022,6,167,3,24
Paita,Valencia,multimodal,24.10840219056309,polpa de manga,containerizado,Reefer,20ft,1.6826594512192838,20.136283460665823,6.044209244306134,43,115381.40474151625,2023,1,23,0,4
Callao,Hamburg,aéreo,25.7437423515042,polpa de maracujá,containerizado,Reefer,20ft,1.2008763830446367,12.991445174284543,5.273699816982075,38,137753.81269443908,2023,8,236,3,34
Callao,Le Havre,marítimo,5.922142109508851,polpa de acerola,containerizado,Reefer,40ft,2.215283642907417,13.411783213807809,5.617507286807666,49,40606.19041949453,2022,11,316,5,45
Suape,Hamburg,marítimo,5.756327591951412,polpa de manga,containerizado,Reefer,20ft,1.560692335061368,17.652519743022772,5.802674778362601,51,38567.68669331515,2022,1,14,4,2
Salaverry,Rotterdam,multimodal,28.409570994057315,polpa de manga,containerizado,Reefer,40ft,2.051868864227032,15.108505896615625,5.539567988220062,52,138611.85710289073,2022,8,242,1,35
Buenaventura,Valencia,marítimo,36.32156295031095,polpa de goiaba,containerizado,Reefer,40ft,1.2963203206105856,5.37256585555435,5.264159254636692,29,145504.05510883863,2024,2,47,4,7
Suape,Hamburg,aéreo,47.39641170261821,polpa de manga,containerizado,Reefer,40ft,1.0627948043982236,7.2716637254439975,6.104170016092059,12,211455.89139836305,2023,7,200,2,29
Paranaguá,Hamburg,aéreo,13.06036778706298,polpa de goiaba,containerizado,Dry,40ft,1.4582011787920008,16.632000310508054,5.298269607619036,57,98193.30851855932,2024,6,168,6,24
Suape,Hamburg,aéreo,9.646646424623714,polpa de acerola,containerizado,Reefer,40ft,1.4221207921853363,20.873250193957322,5.390728893052706,44,77254.9986136452,2022,4,92,5,13
Paita,Rotterdam,marítimo,7.343955811721791,polpa de caju,containerizado,Reefer,20ft,2.310212880290911,20.26206290859912,5.429779422692649,17,57769.069170873096,2024,8,226,1,33
Cartagena,Le Havre,marítimo,24.62187123108276,polpa de caju,containerizado,Reefer,40ft,2.2970106678771307,19.8011311858729,5.242668845713951,21,129806.38927674676,2023,5,144,2,21
Pecém,Hamburg,marítimo,33.04163153011806,polpa de maracujá,containerizado,Reefer,40ft,1.800841333902071,20.42545232416268,6.274327434492999,59,150855.701336431,2024,2,46,3,7
Salaverry,Rotterdam,marítimo,42.82490105380689,polpa de maracujá,containerizado,Reefer,40ft,1.0284984183582904,5.888869526490462,5.915924478297044,54,149573.81501157017,2022,2,35,4,5
Cartagena,Valencia,marítimo,35.71901970319091,polpa de acerola,granel,Reefer,20ft,1.342486994380714,22.90203129925177,6.252122194988209,52,150785.9388790706,2022,7,206,0,30
Santa Marta,Antwerp,marítimo,14.37623550836858,polpa de caju,containerizado,Reefer,20ft,1.9585188913201497,22.78566210423349,5.740593970263664,41,76777.57094850705,2024,10,296,1,43
Suape,Rotterdam,marítimo,25.779666487832554,polpa de maracujá,granel,Reefer,40ft,1.1521126021455514,15.63847978195228,5.779344560181103,38,118406.93573415435,2024,10,292,4,42
Buenaventura,Antwerp,aéreo,45.965585583889485,polpa de manga,containerizado,Reefer,20ft,2.0509333970791706,9.971886645375307,5.924216945201547,54,215336.35817722423,2023,7,201,3,29
Pecém,Hamburg,marítimo,19.703347811481706,polpa de goiaba,containerizado,Reefer,20ft,1.0179433944381153,16.843569455628668,5.556379315896053,30,90966.82818540717,2023,12,338,0,49
Callao,Hamburg,marítimo,27.442866429136917,polpa de maracujá,containerizado,Reefer,20ft,2.023805163053906,16.15771852750573,5.744876142246655,12,130069.7224236279,2023,2,37,0,6
Santos,Rotterdam,marítimo,48.13544005896635,polpa de acerola,containerizado,Reefer,40ft,2.266808864289069,9.459144153804207,5.820372693601523,47,193491.433679134,2023,12,365,6,52
Pecém,Antwerp,marítimo,38.061860250816395,polpa de caju,containerizado,Reefer,40ft,1.7038265794691743,17.062603578573384,6.430313654265877,36,173810.59992775155,2022,6,162,5,23
Paita,Hamburg,marítimo,38.64831735387614,polpa de acerola,containerizado,Reefer,40ft,2.2436214851650567,20.945882322012196,6.324362197736796,12,188780.31529735096,2022,7,202,3,29
Santa Marta,Valencia,marítimo,16.355030198595244,polpa de goiaba,granel,Dry,20ft,2.1722915998658046,21.122137294905123,5.193868771211784,10,96929.65400295643,2024,9,266,6,38
Paita,Le Havre,marítimo,23.66141532373077,polpa de goiaba,containerizado,Reefer,20ft,2.0071287252515155,6.193956445598287,5.061923700188776,55,102005.35444956756,2022,9,270,1,39
Suape,Le Havre,marítimo,8.705397339352476,polpa de acerola,containerizado,Reefer,40ft,1.6677239220967504,8.943266236249288,6.0205009276372685,29,63193.77304566212,2024,3,86,1,13
Paranaguá,Hamburg,marítimo,32.29366401727401,polpa de maracujá,containerizado,Dry,40ft,1.4078560666022408,18.36446721186391,5.073797999967316,16,139476.0828618814,2023,4,91,5,13
Paita,Antwerp,aéreo,9.667857404412239,polpa de maracujá,containerizado,Dry,20ft,2.291295943253303,22.196638908286044,5.090526597428987,50,85069.76965936583,2024,10,287,6,41
Paita,Hamburg,aéreo,42.61593119926797,polpa de caju,containerizado,Reefer,20ft,1.9728855694944225,15.42434164898431,5.238895095266214,10,204612.375890272,2022,10,296,6,42
Buenaventura,Antwerp,multimodal,41.65492041589986,polpa de caju,containerizado,Reefer,20ft,2.1970252528758643,19.15051336669961,5.527560636300101,19,187805.4438172072,2023,12,355,3,51
Suape,Valencia,aéreo,29.01222955050393,polpa de manga,containerizado,Reefer,20ft,1.8279503915933377,5.421440213138011,5.652494167776814,54,135466.29925230486,2022,12,338,6,48
Pecém,Antwerp,multimodal,11.352471493866336,polpa de manga,containerizado,Reefer,40ft,1.257799651740887,17.168416237707987,5.779067052071655,21,88064.29193006949,2024,5,149,1,22
Paranaguá,Hamburg,aéreo,6.151054243782568,polpa de caju,containerizado,Dry,20ft,2.4691569092703043,24.238182888732034,6.4884322894582604,13,78204.92104412796,2024,12,347,3,50
Cartagena,Valencia,marítimo,40.85189003941576,polpa de manga,containerizado,Reefer,20ft,1.274108127186456,18.22029214065476,5.57784913206813,16,172688.77623620254,2024,3,62,5,9
Santos,Rotterdam,marítimo,32.00632174460421,polpa de acerola,containerizado,Reefer,20ft,2.3668622515373547,23.445514332006393,5.3641296447796405,19,150612.1848774802,2022,8,217,4,31
Salaverry,Le Havre,marítimo,36.99183365365475,polpa de maracujá,containerizado,Reefer,20ft,1.312207969067461,16.320189162621475,5.862878612877093,31,158964.82554867913,2024,2,34,5,5
Callao,Hamburg,marítimo,18.671320658136544,polpa de manga,containerizado,Reefer,40ft,1.5606241626196538,21.867574755518554,5.322726428910507,34,97251.30625935626,2022,7,188,3,27
Paita,Hamburg,marítimo,27.926723202976152,polpa de manga,containerizado,Reefer,20ft,1.6601251668061399,7.4832481651429505,6.410815147687827,38,112376.00693227795,2023,1,15,6,2
Suape,Hamburg,marítimo,38.62283767428427,polpa de acerola,containerizado,Reefer,20ft,2.382063984292218,7.47026525773633,5.388881453068354,48,154563.11063477973,2023,5,128,0,19
Salaverry,Valencia,aéreo,25.81534887412098,polpa de goiaba,containerizado,Reefer,40ft,2.3322978563695953,7.4035865839158905,6.484901203479907,24,143237.00295483926,2024,11,335,5,48
Callao,Rotterdam,multimodal,32.06229002459289,polpa de caju,containerizado,Reefer,40ft,2.2348314669286538,14.776991040734181,5.628002285571268,28,146998.8701161477,2022,1,15,5,2
Callao,Antwerp,marítimo,40.5377717813583,polpa de acerola,containerizado,Reefer,40ft,1.5650127212436014,11.6052712167423,6.219029011045627,48,158488.33958721015,2022,3,65,6,9
Cartagena,Rotterdam,marítimo,14.684929036987048,polpa de goiaba,containerizado,Reefer,20ft,1.0067398702433803,19.38371707482072,5.972420487568655,55,77245.57410756702,2023,6,156,0,23
Cartagena,Valencia,multimodal,7.966800021086704,polpa de acerola,containerizado,Reefer,40ft,2.022374980161279,23.052438286007945,6.400241261667103,55,65649.8356298528,2023,10,283,1,41
Cartagena,Hamburg,marítimo,28.93205798648623,polpa de maracujá,containerizado,Reefer,40ft,1.6164307516978058,17.38749657146964,5.9381404293630276,27,134562.50711300463,2024,12,357,6,51
Chancay,Le Havre,marítimo,7.795659682404308,polpa de acerola,containerizado,Reefer,20ft,2.1355872892561534,9.264211121971586,5.871826969162776,51,58079.58396220545,2023,8,228,2,33
Chancay,Hamburg,marítimo,39.495078246503894,polpa de acerola,granel,Dry,20ft,2.1922780691253254,23.617537350582275,5.979278666852768,12,178194.41614441274,2023,1,27,4,4
Callao,Antwerp,marítimo,37.364515143520485,polpa de maracujá,containerizado,Reefer,40ft,1.6595851043761363,15.557146762759652,6.179698298216817,15,164200.12871970213,2023,2,54,3,8
Cartagena,Le Havre,marítimo,44.677070215938365,polpa de caju,containerizado,Dry,40ft,2.1221538479754227,19.398911062715104,6.348262448286212,31,187323.4300927436,2022,10,289,6,41
Buenaventura,Hamburg,aéreo,33.780294411528224,polpa de goiaba,containerizado,Reefer,40ft,2.259905920779516,22.810117008703543,5.4002223501447375,50,170408.43969362925,2023,1,14,5,2
Paita,Le Havre,marítimo,8.02389068385682,polpa de manga,containerizado,Reefer,40ft,2.39271419740225,24.796638641978053,5.301330637820166,55,60112.842891299355,2022,8,231,4,33
Salaverry,Rotterdam,marítimo,16.39184564703278,polpa de caju,containerizado,Reefer,40ft,1.8736829987340915,15.121278982033477,5.051524543498969,40,92401.67895691162,2024,10,288,0,42
Salaverry,Valencia,marítimo,41.35693300532237,polpa de acerola,containerizado,Reefer,20ft,2.167718153589824,21.161254373673476,5.5551188045654,30,181913.11083458373,2022,2,41,3,6
Chancay,Hamburg,marítimo,12.52095877911145,polpa de manga,containerizado,Reefer,40ft,1.7418473053144707,16.33734130636484,6.269277534257076,17,83322.49366907413,2024,11,322,6,46
Callao,Antwerp,multimodal,36.431621051669936,polpa de maracujá,containerizado,Reefer,40ft,1.062494500644943,14.72907891991612,5.10478614295533,10,169100.49222970527,2022,5,135,6,19
Suape,Rotterdam,marítimo,40.111669891421506,polpa de caju,containerizado,Dry,40ft,1.232832141698775,15.754250385525797,5.807780114695028,12,164203.1956753565,2022,7,201,2,29
Pecém,Hamburg,marítimo,19.85503090348585,polpa de goiaba,containerizado,Reefer,20ft,1.192336763859505,14.685504876434084,6.042182954346597,38,98032.49480218651,2024,2,50,0,8
Pecém,Rotterdam,marítimo,19.50338630313088,polpa de caju,containerizado,Dry,20ft,1.2576483851732183,13.420562375893612,6.255279549681588,15,98938.09212441511,2024,7,200,3,29
Chancay,Antwerp,marítimo,30.10112065441161,polpa de caju,containerizado,Reefer,40ft,1.015319124419265,19.474413810279756,5.875145482963244,42,136439.54735000848,2024,11,327,4,47
Suape,Hamburg,marítimo,43.757884973964366,polpa de manga,containerizado,Reefer,20ft,2.2880602348977286,9.993516318953183,5.279480015289429,27,180772.43541180398,2024,12,342,5,49
Chancay,Antwerp,marítimo,15.075779086106625,polpa de maracujá,containerizado,Reefer,20ft,1.8402239799235187,17.32762931612001,6.446804387327337,51,85296.6028897316,2023,5,138,3,20
Pecém,Le Havre,marítimo,47.35661882190812,polpa de maracujá,containerizado,Reefer,20ft,1.5747250045169014,19.259203555288593,5.141977265603057,58,187135.8678111338,2023,2,42,5,6
Suape,Antwerp,marítimo,31.96034081690487,polpa de caju,containerizado,Reefer,20ft,1.6146683073654626,22.8418166678141,6.153499417695437,10,163330.7377335921,2024,3,75,4,11
Cartagena,Le Havre,marítimo,49.645691210852426,polpa de maracujá,containerizado,Reefer,40ft,1.6950266405783043,11.637542978751714,5.1298388357649625,31,190868.5070017017,2022,4,99,5,14
Callao,Hamburg,multimodal,9.03261757978952,polpa de manga,containerizado,Dry,40ft,1.110825250629389,22.211982070321287,5.215128661521673,40,64277.3693435192,2023,11,319,2,46
Salaverry,Le Havre,multimodal,10.695296142804159,polpa de manga,containerizado,Reefer,20ft,1.4119981173698803,23.905823426517276,6.347323390542417,32,75605.91796184766,2023,12,361,2,52
Buenaventura,Hamburg,marítimo,42.19888116710672,polpa de goiaba,containerizado,Reefer,40ft,2.277439655638127,17.973587654834375,6.12961198790264,17,199014.75498361432,2024,8,231,6,33
Paranaguá,Hamburg,marítimo,43.91401530217322,polpa de maracujá,containerizado,Reefer,40ft,2.1155128543209765,20.42866015846026,5.548262406847975,38,189944.6899943999,2023,9,248,1,36
Callao,Valencia,marítimo,25.045640976692027,polpa de goiaba,containerizado,Reefer,40ft,1.8451083073808618,13.114139196377469,5.9580865349843055,53,112408.40615701322,2023,10,278,3,40
Cartagena,Hamburg,aéreo,37.133202926405076,polpa de acerola,containerizado,Reefer,40ft,1.7210559770049445,24.042708395693854,5.685870832566041,55,190103.40341674295,2024,10,299,4,43
Santa Marta,Le Havre,marítimo,44.04007793504923,polpa de manga,granel,Reefer,40ft,1.3884597774863492,18.41722910172848,5.099806641344471,28,183488.902454351,2023,5,138,3,20
Pecém,Valencia,marítimo,6.94075046984729,polpa de caju,containerizado,Reefer,20ft,1.7068824544706582,11.20313617235535,6.081691424508044,58,46363.21901815169,2024,2,37,1,6
Cartagena,Valencia,marítimo,30.827769034696637,polpa de manga,containerizado,Reefer,40ft,1.8967829141002222,13.085226944680457,6.14488358560423,25,134774.89685078137,2023,2,33,3,5
Santa Marta,Hamburg,aéreo,43.40662999369203,polpa de acerola,containerizado,Reefer,40ft,2.068956927147371,17.35511028263152,6.323512079228024,28,218025.43700944804,2024,5,141,0,21
Chancay,Antwerp,marítimo,22.916972506314874,polpa de caju,containerizado,Reefer,40ft,1.2499602816284856,9.682703290245902,5.810956019916921,46,100913.95174528229,2024,3,65,1,10
Suape,Antwerp,marítimo,18.60726227505921,polpa de maracujá,containerizado,Dry,20ft,2.219665402706166,20.07828808680584,6.009706926502184,31,91054.50093293523,2023,1,28,5,4
Salaverry,Valencia,marítimo,40.80680082926769,polpa de maracujá,containerizado,Reefer,40ft,1.5187169155507338,9.493830325392862,5.6570756275623015,28,161771.76688779338,2022,7,207,1,30
Paita,Hamburg,marítimo,20.110396257627627,polpa de manga,containerizado,Reefer,40ft,1.7548871249355331,16.835783915418787,5.47836388866174,13,108653.54539009856,2024,11,309,0,45
Chancay,Antwerp,marítimo,5.142843418302644,polpa de caju,containerizado,Reefer,40ft,1.9118564748944986,18.940130259896545,5.617549992782164,14,57586.470604696915,2024,6,162,0,24
Callao,Hamburg,aéreo,48.18076644330796,polpa de caju,containerizado,Reefer,40ft,1.7321427343315499,22.194957913230773,6.367628534996731,14,252320.92857213027,2024,5,134,0,20
Chancay,Hamburg,aéreo,31.64554563579583,polpa de goiaba,containerizado,Dry,20ft,1.8579353562311787,19.678008315778662,5.246256927566283,34,165913.52857367697,2024,1,13,5,2
Callao,Valencia,marítimo,41.878306341953206,polpa de acerola,containerizado,Reefer,20ft,1.1672851970243068,20.9765018310457,5.372749726430818,33,173741.6414178089,2023,7,199,1,29
Paita,Valencia,aéreo,42.13857030542216,polpa de maracujá,containerizado,Reefer,40ft,1.6482331826629528,23.258636029956964,5.9092861870665985,10,225457.80246418074,2024,10,291,3,42
Santos,Rotterdam,marítimo,7.988468916772977,polpa de manga,containerizado,Dry,20ft,1.4207012064043396,16.955431224441448,5.174421982341779,59,44331.578595802566,2022,4,96,2,14
Santa Marta,Antwerp,marítimo,12.688708972390916,polpa de caju,containerizado,Reefer,40ft,1.1290392308303052,21.925600213240333,6.337796767478641,37,81053.07258345406,2023,4,120,6,17
Salaverry,Antwerp,marítimo,19.000430634184134,polpa de maracujá,containerizado,Reefer,40ft,1.2874738384479913,9.637444620503441,5.070854557794894,56,88532.01259387386,2022,8,231,4,33
Buenaventura,Antwerp,multimodal,19.431467826859528,polpa de manga,containerizado,Reefer,40ft,1.9036668496411875,21.29466341583946,6.132968439897359,30,112228.5024067844,2024,1,19,4,3
Buenaventura,Le Havre,marítimo,34.64537529564108,polpa de maracujá,granel,Reefer,40ft,1.2950296039771754,9.433734826129605,5.56059207072395,28,135724.18111748438,2023,6,176,6,25
Santa Marta,Hamburg,marítimo,33.04098143387081,polpa de manga,granel,Reefer,40ft,1.27159601517864,23.692584374855596,5.0767483604171915,32,147906.38699862166,2024,11,330,0,48
Paranaguá,Valencia,multimodal,27.25654001044162,polpa de maracujá,containerizado,Reefer,20ft,1.8292456485799544,11.599466749153374,6.264391840578106,23,139114.98583745767,2023,6,160,4,23
Cartagena,Antwerp,marítimo,14.506867953894558,polpa de goiaba,containerizado,Reefer,40ft,2.3570537600604777,8.436759963512257,5.960690352020682,15,88980.45078726482,2023,8,213,1,31
Santos,Rotterdam,marítimo,22.18925613606365,polpa de acerola,containerizado,Dry,40ft,2.183039275959745,7.963375202584038,5.013288063722207,41,93184.8864979902,2023,11,317,0,46
Santa Marta,Antwerp,marítimo,29.46172858093263,polpa de maracujá,containerizado,Reefer,40ft,2.3576336657797756,8.745444338756647,5.40129927257692,59,129724.33692319153,2023,7,192,1,28
Buenaventura,Hamburg,marítimo,26.059341474677385,polpa de acerola,containerizado,Dry,40ft,1.8744703034447727,13.95080617126332,5.528068411587537,41,118004.0841584009,2024,10,283,2,41
Chancay,Hamburg,aéreo,10.728163989278528,polpa de maracujá,containerizado,Reefer,40ft,1.6148943406879108,15.442987821601179,5.4838672233489065,17,86589.42525612838,2023,10,281,6,40
Cartagena,Valencia,marítimo,34.227972207586575,polpa de caju,containerizado,Reefer,40ft,2.094462048312915,23.275716650478373,5.747513043544463,46,160647.08766518833,2024,3,66,2,10
Santos,Le Havre,marítimo,8.287329956479725,polpa de goiaba,containerizado,Reefer,40ft,1.3920460422739764,12.62029605855391,5.7902044368152685,31,63832.40707314793,2024,11,322,6,46
Suape,Valencia,marítimo,22.018760738648613,polpa de goiaba,containerizado,Dry,40ft,1.1170809370081056,9.349646175741082,5.595131026689737,17,98518.4724435983,2022,7,190,5,27
Suape,Antwerp,marítimo,36.95132064538531,polpa de acerola,containerizado,Reefer,20ft,1.5169221890967033,19.876422236787633,5.497655508166785,47,158192.1152476427,2023,9,268,0,39
Cartagena,Rotterdam,marítimo,5.901059053386793,polpa de caju,containerizado,Reefer,20ft,1.448855046230526,7.6930881585721185,5.756613992435083,19,44271.46260513487,2023,9,263,2,38
Santa Marta,Valencia,marítimo,30.649226857039224,polpa de manga,containerizado,Reefer,40ft,2.0133083917257135,22.845667440303757,5.05042310694299,12,157656.33696903638,2024,8,243,4,35
Callao,Le Havre,aéreo,20.05344383644838,polpa de goiaba,containerizado,Reefer,40ft,1.8270440182177214,13.187992704176079,5.967802640047422,22,128360.16225351676,2023,12,345,0,50
Callao,Valencia,marítimo,5.397432954023051,polpa de caju,containerizado,Dry,40ft,1.2073944760836783,17.276829673099595,5.9089737753554665,48,37833.699399700476,2023,10,284,2,41
Chancay,Hamburg,marítimo,13.567247197743734,polpa de caju,containerizado,Reefer,20ft,2.3627562696557045,8.723686852330452,5.418829699587724,39,72495.4128790966,2022,11,318,0,46
Santos,Antwerp,marítimo,47.34257869717945,polpa de acerola,containerizado,Reefer,40ft,1.8900084107572064,7.910582981596734,5.269273170500956,13,190717.72049013787,2023,11,319,2,46
Santos,Antwerp,marítimo,28.451700747729067,polpa de caju,containerizado,Reefer,40ft,1.6865263381356652,20.976787495097113,5.109477458941902,54,129319.79027188318,2023,10,299,3,43
Cartagena,Antwerp,marítimo,49.875224208310925,polpa de caju,containerizado,Reefer,40ft,2.4057923906779806,13.594045838291198,5.881015626959167,15,217151.5530763987,2023,3,77,5,11
Pecém,Antwerp,marítimo,28.616753766413353,polpa de manga,containerizado,Reefer,40ft,1.1459527731968513,24.734856254524203,5.8533504088778034,25,137503.82082899896,2023,7,199,1,29
Suape,Antwerp,aéreo,29.47713855306207,polpa de acerola,containerizado,Reefer,20ft,2.1843894072095766,15.485958889049032,5.79997713516583,31,163823.26558147438,2024,8,222,4,32
Santos,Antwerp,marítimo,22.63293558197836,polpa de acerola,containerizado,Dry,40ft,1.546998258580014,21.913058215153793,6.478427402280726,36,102890.50910645066,2023,11,334,3,48
Cartagena,Rotterdam,marítimo,18.951818842913646,polpa de caju,containerizado,Reefer,40ft,2.0430846263859577,24.599273574428704,5.79731616653228,30,95217.35321773443,2022,4,113,5,16
Paita,Le Havre,marítimo,16.319549890982515,polpa de manga,containerizado,Reefer,40ft,2.396088141471518,10.623003230170031,6.0826860949545365,38,74715.29087836317,2022,1,2,6,52
Paranaguá,Antwerp,multimodal,20.453927725880327,polpa de maracujá,containerizado,Dry,40ft,1.776569620728126,21.01763424310732,5.169377407750398,10,117852.20577529309,2023,10,277,2,40
Paita,Le Havre,marítimo,25.693298640519448,polpa de goiaba,containerizado,Reefer,20ft,1.0339582351431211,5.44012326649292,5.448456183778345,39,102068.92493712874,2022,8,220,0,32
Salaverry,Antwerp,marítimo,13.639637760385554,polpa de acerola,containerizado,Reefer,40ft,1.0432723452585069,18.595082361220577,5.413169922391957,33,85540.52584835593,2024,5,125,5,18
Santa Marta,Valencia,marítimo,15.119379131256315,polpa de manga,containerizado,Reefer,20ft,1.4958412286280647,19.904021822356988,5.863963258787012,22,79334.15268979527,2023,1,20,4,3
